상품명,스팩목록,가격
삼성전자 비스포크 슬림 VS15A680AFN,"핸디스틱청소기/무선/흡입전용/흡입력: 55W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/LED라이트/[배터리] 사용시간: 30분(최대)/[흡입구] 전방향회전/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 무게: 1.8kg/크기(가로x세로x깊이): 226x1160x83mm",895360
테팔 에어포스 라이트 TY6545KL,"핸디스틱청소기/무선/흡입전용/흡입력: 280W/스테이션: 먼지비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 산토리니베이지/무게: 2.3kg/크기(가로x세로x깊이): 300x1055x300mm",43650
삼성전자 비스포크 제트 VS20C954AQK,"핸디스틱청소기/무선/흡입전용/흡입력: 280W/스테이션: 먼지비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/워셔블먼지필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 산토리니베이지/무게: 2.3kg/크기(가로x세로x깊이): 300x1055x300mm",193740
다이슨 V12 오리진 컴플리트,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 150W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/스마트인버터모터/[배터리] 사용시간: 40분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬, 틈새(내장형)브러쉬/물걸레: 포함/[색상/크기] 색상: 에센스화이트/무게: 1.97kg/크기(가로x세로x깊이): 251x1026x242mm",389000
디베아 ALLNEW29000+ (25년형),"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 150W/스테이션: 충전, 스탠드거치, 액서서리&배터리거치/싸이클론흡입/스마트인버터모터/[배터리] 사용시간: 40분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬, 틈새(내장형)브러쉬/물걸레: 포함/[색상/크기] 색상: 에센스화이트/무게: 1.97kg/크기(가로x세로x깊이): 251x1026x242mm",353990
디베아 클린스테이션 JET FIT,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 255W(45,000Pa)/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지봉투: 1.5L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/UV살균/BLDC모터/헤파필터/[배터리] 사용시간: 1시간5분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 화이트/무게: 2.7kg/크기(가로x세로x깊이): 250x1040x260mm",98000
앱코 오엘라 네오스핀 OBC-AW09,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 255W(45,000Pa)/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지봉투: 1.5L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/UV살균/BLDC모터/헤파필터/[배터리] 사용시간: 1시간5분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬/물걸레: 별매/[색상/크기] 색상: 화이트/무게: 2.7kg/크기(가로x세로x깊이): 250x1040x260mm",429000
LG전자 오브제컬렉션 코드제로 A9S AX920BHE,"핸디스틱청소기/무선/흡입전용/흡입력: 210W/스테이션: 먼지비움, 싸이클론비움, 액서서리수납, 스탠드거치/먼지비움시간: 10초/먼지봉투: 3L/LED라이트/싸이클론흡입/BLDC모터/헤파필터/[배터리] 사용시간: 1시간30분(최대)/분리형(1개)/[흡입구] 바닥+카펫/추가브러쉬: 솔브러쉬, 틈새브러쉬, 미니브러쉬, 연장관/[색상/크기] 색상: 블랙/무게: 1.8kg/크기(가로x세로x깊이): 250x1146x293mm",471700
샤오미 미홀 M11 Fit,"핸디스틱청소기/무선/흡입전용/흡입력: 210W/스테이션: 먼지비움, 싸이클론비움, 액서서리수납, 스탠드거치/먼지비움시간: 10초/먼지봉투: 3L/LED라이트/싸이클론흡입/BLDC모터/헤파필터/[배터리] 사용시간: 1시간30분(최대)/분리형(1개)/[흡입구] 바닥+카펫/추가브러쉬: 솔브러쉬, 틈새브러쉬, 미니브러쉬, 연장관/[색상/크기] 색상: 블랙/무게: 1.8kg/크기(가로x세로x깊이): 250x1146x293mm",219000
일렉트로룩스 에르고라피도 ZB3511DB,"핸디스틱청소기/무선/흡입전용/스테이션: 충전, 스탠드거치/LED라이트/싸이클론흡입/헤파필터/[배터리] 사용시간: 45분(최대)/내장형/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬, 각도조절툴/[색상/크기] 색상: 블루/무게: 2.65kg/크기(가로x세로x깊이): 255x1105x140mm",518380
